Date,Close,Open,High,Low,Volume,Change %
2017-05-23,9386.15,9445.05,9448.05,9370.0,231350000.0,-0.55%
2017-05-24,9360.55,9410.9,9431.9,9341.65,218260000.0,-0.27%
2017-05-25,9509.75,9384.05,9523.3,9379.2,298150000.0,1.59%
2017-05-26,9595.1,9507.75,9604.9,9495.4,225650000.0,0.90%
2017-05-29,9604.9,9560.05,9637.75,9547.7,242270000.0,0.10%
2017-05-30,9624.55,9590.65,9635.3,9581.2,199890000.0,0.20%
2017-05-31,9621.25,9636.55,9649.6,9609.25,427050000.0,-0.03%
2017-06-01,9616.1,9603.55,9634.65,9589.9,181530000.0,-0.05%
2017-06-02,9653.5,9657.15,9673.5,9637.45,167200000.0,0.39%
2017-06-05,9675.1,9656.3,9687.2,9640.7,131690000.0,0.22%
2017-06-06,9637.15,9704.25,9709.3,9630.2,150380000.0,-0.39%
2017-06-07,9663.9,9663.95,9678.55,9630.55,165670000.0,0.28%
2017-06-08,9647.25,9682.4,9688.7,9641.5,160160000.0,-0.17%
2017-06-09,9668.25,9638.55,9676.25,9608.15,163900000.0,0.22%
2017-06-12,9616.4,9646.7,9647.05,9598.5,145790000.0,-0.54%
2017-06-13,9606.9,9615.55,9654.15,9595.4,133729999.99999999,-0.10%
2017-06-14,9618.15,9621.55,9627.4,9580.45,187380000.0,0.12%
2017-06-15,9578.05,9617.9,9621.4,9560.8,176420000.0,-0.42%
2017-06-16,9588.05,9595.45,9615.85,9565.5,219810000.0,0.10%
2017-06-19,9657.55,9626.4,9673.3,9614.9,146150000.0,0.72%
2017-06-20,9653.5,9670.5,9676.5,9643.75,164440000.0,-0.04%
2017-06-21,9633.6,9648.1,9650.45,9608.6,148490000.0,-0.21%
2017-06-22,9630.0,9642.65,9698.85,9617.75,204890000.0,-0.04%
2017-06-23,9574.95,9643.25,9647.65,9565.3,180580000.0,-0.57%
2017-06-27,9511.4,9594.05,9615.4,9473.45,209590000.0,-0.66%
2017-06-28,9491.25,9520.2,9522.5,9474.35,177650000.0,-0.21%
2017-06-29,9504.1,9522.95,9575.8,9493.8,267279999.99999997,0.14%
2017-06-30,9520.9,9478.5,9535.8,9448.75,185200000.0,0.18%
2017-07-03,9615.0,9587.95,9624.0,9543.55,188690000.0,0.99%
2017-07-04,9613.3,9645.9,9650.65,9595.5,149310000.0,-0.02%
2017-07-05,9637.6,9619.75,9643.65,9607.35,134850000.0,0.25%
2017-07-06,9674.55,9653.6,9700.7,9639.95,152000000.0,0.38%
2017-07-07,9665.8,9670.35,9684.25,9642.65,146230000.0,-0.09%
2017-07-10,9771.05,9719.3,9782.15,9646.45,38750000.0,1.09%
2017-07-11,9786.05,9797.45,9830.05,9778.85,185320000.0,0.15%
